year,Journal article,Conference / proceedings,Review,Book / chapter,Other / unclear,Total,is_incomplete_year
2010,1,0,0,0,0,1,false
2011,0,0,0,0,0,0,false
2012,0,0,0,0,0,0,false
2013,2,0,0,0,0,2,false
2014,0,0,0,0,0,0,false
2015,0,0,0,0,0,0,false
2016,0,0,0,0,0,0,false
2017,2,2,0,0,0,4,false
2018,8,5,0,0,0,13,false
2019,16,10,0,0,0,26,false
2020,29,12,0,0,0,41,false
2021,23,11,0,1,1,36,false
2022,27,16,3,2,0,48,false
2023,54,17,5,0,1,77,false
2024,45,21,4,1,3,74,false
2025,58,23,8,1,0,90,false
2026,13,1,0,1,0,15,true
