citationKey,dimension,stance,kind
3610864516d6,Privacy,caused,ethics
508a17977cd2,Privacy,caused,ethics
75bba223bc94,Privacy,caused,ethics
c08f2f3d3e8b,Privacy,caused,ethics
e8a1de4c2f1b,Privacy,caused,ethics
a7d06d07e6c3,Privacy,resolved,ethics
da86f734d8a3,Privacy,resolved,ethics
050876505c41,Privacy,both,ethics
d44a9529bdde,Privacy,both,ethics
0ce423384fd5,Transparency,caused,ethics
124df92e6d47,Transparency,caused,ethics
1852aed2b535,Transparency,caused,ethics
2169dad77619,Transparency,caused,ethics
3756a39ea98c,Transparency,caused,ethics
39421d06c383,Transparency,caused,ethics
439dfd13b723,Transparency,caused,ethics
453d7dda7136,Transparency,caused,ethics
740599fb90ce,Transparency,caused,ethics
75bba223bc94,Transparency,caused,ethics
8529576161e7,Transparency,caused,ethics
8b31cb8429dc,Transparency,caused,ethics
8e81837a5861,Transparency,caused,ethics
8f6d0f5c5cf3,Transparency,caused,ethics
9e08b543a80f,Transparency,caused,ethics
b5813c22bda8,Transparency,caused,ethics
ddb8a8742a4d,Transparency,caused,ethics
e2f6a88e3abc,Transparency,caused,ethics
e4edbaa2c127,Transparency,caused,ethics
e8a1de4c2f1b,Transparency,caused,ethics
fcf0638d98ab,Transparency,caused,ethics
043684769543,Transparency,resolved,ethics
05e2688a7bc5,Transparency,resolved,ethics
0d6a03135510,Transparency,resolved,ethics
141b13698665,Transparency,resolved,ethics
1904798abdde,Transparency,resolved,ethics
19cb602b2f26,Transparency,resolved,ethics
1a2acf19df20,Transparency,resolved,ethics
1a93f0883cd2,Transparency,resolved,ethics
204d1f7e2d50,Transparency,resolved,ethics
20c42a23585e,Transparency,resolved,ethics
211a1f5e8c68,Transparency,resolved,ethics
260b9335a18b,Transparency,resolved,ethics
2720fc4ea82f,Transparency,resolved,ethics
2d9526998521,Transparency,resolved,ethics
2f01198b23e4,Transparency,resolved,ethics
353e3e1970fc,Transparency,resolved,ethics
3c2419267f61,Transparency,resolved,ethics
4419aec5ed0a,Transparency,resolved,ethics
45eb1a2f75ff,Transparency,resolved,ethics
4764e0c69fc7,Transparency,resolved,ethics
5426dc9b583d,Transparency,resolved,ethics
