citationKey,dimension,stance,kind
00c860e05574,Model performance,positive,general
0491ca402c2d,Model performance,positive,general
05e2688a7bc5,Model performance,positive,general
0612ea3873e7,Model performance,positive,general
06c0f2ce8149,Model performance,positive,general
0ab3fcfd31cd,Model performance,positive,general
0c2ef5f5f239,Model performance,positive,general
0c4c0c9dfa22,Model performance,positive,general
0ce423384fd5,Model performance,positive,general
0ce6275d5e29,Model performance,positive,general
0d3ed148cd7e,Model performance,positive,general
0dc2e29b3cdc,Model performance,positive,general
115dec251e53,Model performance,positive,general
124df92e6d47,Model performance,positive,general
132472fc1f98,Model performance,positive,general
1408e75c41f8,Model performance,positive,general
141b13698665,Model performance,positive,general
14ebc0156334,Model performance,positive,general
150bc8d96d43,Model performance,positive,general
155874664ca6,Model performance,positive,general
15e0a0244e47,Model performance,positive,general
1648261eab20,Model performance,positive,general
1852aed2b535,Model performance,positive,general
18bd8aebe09b,Model performance,positive,general
1904798abdde,Model performance,positive,general
1af22a193a23,Model performance,positive,general
1bf504b7350f,Model performance,positive,general
1c265355c2df,Model performance,positive,general
1ce8b917da06,Model performance,positive,general
1d4e02a1a00d,Model performance,positive,general
1d794ad5abad,Model performance,positive,general
1d842e8af942,Model performance,positive,general
1e84cfa9a875,Model performance,positive,general
1ecb685fcb6b,Model performance,positive,general
1f86b4feb99a,Model performance,positive,general
20c42a23585e,Model performance,positive,general
20e75922954b,Model performance,positive,general
211a1f5e8c68,Model performance,positive,general
21574e4309b4,Model performance,positive,general
253ecd7dc13d,Model performance,positive,general
2573e4102c86,Model performance,positive,general
26b86f0f7104,Model performance,positive,general
2720fc4ea82f,Model performance,positive,general
28d93b251ada,Model performance,positive,general
2a6359a3d36d,Model performance,positive,general
2add5b135634,Model performance,positive,general
2b826e590278,Model performance,positive,general
2d159997288c,Model performance,positive,general
2d749d9e9d78,Model performance,positive,general
2d9526998521,Model performance,positive,general
2da4eab59436,Model performance,positive,general
2eca1541a3a2,Model performance,positive,general
2edcd32ecfef,Model performance,positive,general
2f01198b23e4,Model performance,positive,general
328d12f07b05,Model performance,positive,general
3546add1d637,Model performance,positive,general
35cf76e0902a,Model performance,positive,general
36d500e38d2a,Model performance,positive,general
3756a39ea98c,Model performance,positive,general
382c85dc1773,Model performance,positive,general
38ae9a4c720f,Model performance,positive,general
39421d06c383,Model performance,positive,general
3a1c9f961d8f,Model performance,positive,general
3a42efb6c3e0,Model performance,positive,general
3c2419267f61,Model performance,positive,general
3e68f9e61c54,Model performance,positive,general
3ea2dfffb32d,Model performance,positive,general
3f146b610a1c,Model performance,positive,general
3fa94aec9761,Model performance,positive,general
439dfd13b723,Model performance,positive,general
4419aec5ed0a,Model performance,positive,general
4491e0db91c1,Model performance,positive,general
45eb1a2f75ff,Model performance,positive,general
47542dbde500,Model performance,positive,general
480eeed24bbb,Model performance,positive,general
4a43cf41c93c,Model performance,positive,general
4d67266653bd,Model performance,positive,general
4f765ccd9085,Model performance,positive,general
5025397cedec,Model performance,positive,general
5066313c066c,Model performance,positive,general
50e92c5d79ed,Model performance,positive,general
52c9f6e04e8b,Model performance,positive,general
54432e646501,Model performance,positive,general
557e974d0f58,Model performance,positive,general
5677c19959ca,Model performance,positive,general
573280ef5d40,Model performance,positive,general
5892e7ec15c7,Model performance,positive,general
5a7f975813f3,Model performance,positive,general
5b2edc0853a8,Model performance,positive,general
5c42c3c92f41,Model performance,positive,general
5eda0c15ead9,Model performance,positive,general
61ee33ea2db5,Model performance,positive,general
62966ef9fdb8,Model performance,positive,general
642c3c0cd617,Model performance,positive,general
64d31fb56e0d,Model performance,positive,general
685a023a1f71,Model performance,positive,general
69c68a670872,Model performance,positive,general
6b5df424652b,Model performance,positive,general
6b8a4c5793dc,Model performance,positive,general
6d1a19e2da14,Model performance,positive,general
6fe05a02f932,Model performance,positive,general
7043d68f5440,Model performance,positive,general
7170b8cc9dcd,Model performance,positive,general
71adaf3d927c,Model performance,positive,general
750835f3e51d,Model performance,positive,general
769ac8041ab3,Model performance,positive,general
7883c54e265c,Model performance,positive,general
79e8d2ce0b3d,Model performance,positive,general
7d76dcad4fd1,Model performance,positive,general
7dce1de2a158,Model performance,positive,general
7f74f101a703,Model performance,positive,general
7f80043b52dd,Model performance,positive,general
83cf8efd6fa3,Model performance,positive,general
853e0b588e73,Model performance,positive,general
8548942b07da,Model performance,positive,general
86b8dd7b0271,Model performance,positive,general
86c7ff548539,Model performance,positive,general
87ad60e39c6e,Model performance,positive,general
87f3cd94ec74,Model performance,positive,general
884497e0ee92,Model performance,positive,general
89ed1d75a62e,Model performance,positive,general
8a0a26e0ad28,Model performance,positive,general
8a3e4d6925f4,Model performance,positive,general
8ba2213f7ff2,Model performance,positive,general
8bade6a0ab7c,Model performance,positive,general
8cc1cc25b209,Model performance,positive,general
8e39b70ae840,Model performance,positive,general
8e81837a5861,Model performance,positive,general
8fdeab605f31,Model performance,positive,general
901e5a28ee43,Model performance,positive,general
925beb945b38,Model performance,positive,general
942a7c645311,Model performance,positive,general
94eb03d655e3,Model performance,positive,general
95091e88a995,Model performance,positive,general
