dimension,articleCount,stance,count,articleKeys
Model performance,413,positive,235,"[""00c860e05574"", ""0491ca402c2d"", ""05e2688a7bc5"", ""05e48832d20e"", ""0612ea3873e7"", ""06c0f2ce8149"", ""07fc94724eec"", ""0ab3fcfd31cd"", ""0c2ef5f5f239"", ""0c4c0c9dfa22"", ""0ce423384fd5"", ""0ce6275d5e29"", ""0d3ed148cd7e"", ""0d6a03135510"", ""0dc2e29b3cdc"", ""115dec251e53"", ""124df92e6d47"", ""132472fc1f98"", ""1408e75c41f8"", ""141b13698665"", ""14ebc0156334"", ""150bc8d96d43"", ""155874664ca6"", ""15e0a0244e47"", ""1648261eab20"", ""180d4efefd11"", ""1852aed2b535"", ""18bd8aebe09b"", ""1904798abdde"", ""19cb602b2f26"", ""1af22a193a23"", ""1bf504b7350f"", ""1c265355c2df"", ""1ce8b917da06"", ""1d4e02a1a00d"", ""1d794ad5abad"", ""1d842e8af942"", ""1e84cfa9a875"", ""1ecb685fcb6b"", ""1f86b4feb99a"", ""20c42a23585e"", ""20e75922954b"", ""211a1f5e8c68"", ""21574e4309b4"", ""2169dad77619"", ""253ecd7dc13d"", ""2573e4102c86"", ""26b86f0f7104"", ""2720fc4ea82f"", ""27c8caa3938d"", ""28d93b251ada"", ""2a6359a3d36d"", ""2add5b135634"", ""2b826e590278"", ""2d159997288c"", ""2d749d9e9d78"", ""2da4eab59436"", ""2eca1541a3a2"", ""2edcd32ecfef"", ""2f01198b23e4"", ""328d12f07b05"", ""32e2ad0d0e6f"", ""3546add1d637"", ""35cf76e0902a"", ""3610864516d6"", ""36d500e38d2a"", ""3756a39ea98c"", ""382c85dc1773"", ""38ae9a4c720f"", ""391d2af4c04b"", ""39421d06c383"", ""3a1c9f961d8f"", ""3a42efb6c3e0"", ""3c2419267f61"", ""3e68f9e61c54"", ""3ea2dfffb32d"", ""3f146b610a1c"", ""3fa94aec9761"", ""439dfd13b723"", ""4419aec5ed0a"", ""4491e0db91c1"", ""45eb1a2f75ff"", ""47542dbde500"", ""480eeed24bbb"", ""4a43cf41c93c"", ""4d67266653bd"", ""4f765ccd9085"", ""5025397cedec"", ""5066313c066c"", ""50e92c5d79ed"", ""52c9f6e04e8b"", ""54432e646501"", ""557e974d0f58"", ""5677c19959ca"", ""573280ef5d40"", ""5892e7ec15c7"", ""5a7f975813f3"", ""5b2edc0853a8"", ""5c42c3c92f41"", ""5eda0c15ead9"", ""61ee33ea2db5"", ""62966ef9fdb8"", ""642c3c0cd617"", ""64d31fb56e0d"", ""685a023a1f71"", ""69c68a670872"", ""6b5df424652b"", ""6b8a4c5793dc"", ""6d1a19e2da14"", ""6f739da64bf7"", ""6fe05a02f932"", ""7043d68f5440"", ""71adaf3d927c"", ""750835f3e51d"", ""769ac8041ab3"", ""7883c54e265c"", ""79e8d2ce0b3d"", ""7d76dcad4fd1"", ""7dce1de2a158"", ""7f74f101a703"", ""7f80043b52dd"", ""83cf8efd6fa3"", ""853e0b588e73"", ""8548942b07da"", ""86b8dd7b0271"", ""86c7ff548539"", ""87ad60e39c6e"", ""87f3cd94ec74"", ""884497e0ee92"", ""89ed1d75a62e"", ""8a0a26e0ad28"", ""8a272a0621a3"", ""8a3e4d6925f4"", ""8b31cb8429dc"", ""8ba2213f7ff2"", ""8bade6a0ab7c"", ""8cc1cc25b209"", ""8e39b70ae840"", ""8e81837a5861"", ""8f6d0f5c5cf3"", ""8fdeab605f31"", ""901e5a28ee43"", ""925beb945b38"", ""942a7c645311"", ""94eb03d655e3"", ""95091e88a995"", ""95b36061c90b"", ""9649fa53145e"", ""96ce472e1aee"", ""98a6512e9253"", ""99087a376207"", ""9a4a7b8bc450"", ""9adf89905665"", ""9be93b20f768"", ""9c1c75b00f71"", ""9c2426e5689a"", ""9f0384c0591e"", ""9f429b61566a"", ""a0537c1f5b2f"", ""a0c9a468cb84"", ""a25c2affba2e"", ""a375579ce8e5"", ""a5c99b438a02"", ""a619076b267e"", ""a7e84a899e78"", ""a8a58cac35be"", ""a927b9e1445f"", ""ad6ea1627565"", ""ae048462feb9"", ""aec455f4c0cd"", ""afc412821b08"", ""b0bb1f653298"", ""b14e75f5029e"", ""b2d92e326400"", ""b3e18537a972"", ""b5784b25a496"", ""b5f971387b12"", ""b6ab3131bcdd"", ""baabcdd9106b"", ""babd088bc54d"", ""bbf1a9c65c10"", ""bd6e9fab3138"", ""c0c5966a3f98"", ""c3c03d9a26df"", ""c4ed68d9a886"", ""c68d30aef47a"", ""c989782a8bba"", ""c9fafe5b4ef7"", ""ca0cf545a69a"", ""ca4ed632a93e"", ""cb11e397dac4"", ""cb6fb691c745"", ""cf8018eec68f"", ""d0f160c2f77b"", ""d2268865c638"", ""d2883190c5b7"", ""d28892d42ec2"", ""d485cdc6f95b"", ""d4aa814e85dd"", ""d6066a07ba35"", ""d66c54ff5654"", ""d80e6b8deec9"", ""da86f734d8a3"", ""daaa7bd24f6d"", ""dd322ca792a6"", ""ddb8a8742a4d"", ""ddff51574c2b"", ""defa2b6538c8"", ""e10d72f899b9"", ""e1bb7788d422"", ""e2803d839281"", ""e4ff9553115d"", ""e5136d5c95b2"", ""e53f05541439"", ""e842ed2e802d"", ""e8a1de4c2f1b"", ""e8da82ecca34"", ""ea263bf4d04c"", ""ed3fec0ec1cd"", ""eed82e7dd133"", ""ef369f0c1328"", ""f0f02ae9c681"", ""f1e33c79d14e"", ""f2c1c0d92f35"", ""f32b6992dba5"", ""f49beac306e5"", ""f5532f1b6916"", ""f7ff1f18afea"", ""f8c4d3c38c89"", ""fb4151a5b803"", ""fba527f6ce22"", ""fbc53be7c1ec"", ""fd535b17cb02"", ""fe1b54998c1a"", ""fe5fbf92daa6""]"
Model performance,413,negative,0,[]
Model performance,413,balanced,178,"[""043684769543"", ""050876505c41"", ""07c78b773a9e"", ""0a00ff13084b"", ""0a91bafc9ed3"", ""0cd301461c99"", ""0d9a70ede5cc"", ""0db96a4e3a4b"", ""0ff0aa3f6a75"", ""12df428f0bc9"", ""15409c146949"", ""17531fd94ff0"", ""17819e10c66b"", ""185bfa237de7"", ""18696a72d2e6"", ""194a129d30b7"", ""196caa492075"", ""1a2acf19df20"", ""1a93f0883cd2"", ""1d162408014e"", ""204d1f7e2d50"", ""22edae5415fa"", ""260b9335a18b"", ""26abc95edfa3"", ""2b6fbc4f0508"", ""2c2ad7b1aef3"", ""2ce8cb442667"", ""2d9526998521"", ""2e6b2c0b76cd"", ""2eea02f82a91"", ""30f9c197297e"", ""345f15624795"", ""353e3e1970fc"", ""35bc3ce0c206"", ""38c21f05f613"", ""392467f34a8e"", ""393240c7cec2"", ""3db5f67e924b"", ""40af85c6a674"", ""40e5cd2458a7"", ""442a6774b300"", ""44ce6e703d06"", ""45030507cc63"", ""453d7dda7136"", ""4764e0c69fc7"", ""4afc2a924102"", ""4caa01410b29"", ""4f7cb7df4f7d"", ""508a17977cd2"", ""5228248f6fb3"", ""52f6c2705903"", ""5426dc9b583d"", ""569ab5ce6be4"", ""58564251d58c"", ""586a2b8617e4"", ""59533aad7727"", ""5b4074fce93a"", ""5d93b7069e25"", ""5eb5c2661c10"", ""5fe18c92b5b8"", ""607838e1b84c"", ""617a92840067"", ""62c5fb0e0006"", ""6347ea09d2bd"", ""646313884044"", ""671fa968ac45"", ""68f0266deb95"", ""6d00851b6b2f"", ""7098a160108d"", ""7170b8cc9dcd"", ""720229a10c92"", ""740599fb90ce"", ""74bd3176c1ed"", ""75bba223bc94"", ""772fab385995"", ""7a8d717e87c8"", ""7abb94fc2719"", ""7bda019936ec"", ""7c9a28561793"", ""7e500df4fae1"", ""7f53aa5cb1c9"", ""8529576161e7"", ""866ff7d14ed2"", ""873a9a16cc28"", ""889c08799ba4"", ""88ef6ab637e1"", ""88f59ea42ad7"", ""8a37722508f8"", ""8a5b73028348"", ""8c8e1aed8a11"", ""8d687ff87530"", ""9128d022254b"", ""92b0beaeeada"", ""9431a95feac7"", ""9c51cf880908"", ""9c5dde5cbaf5"", ""9e08b543a80f"", ""Schlosser2024_SciRep"", ""a1593fedce90"", ""a2bfc8cc3fd8"", ""a32e088bd521"", ""a3bb1eb6a59a"", ""a54c7820e8a1"", ""a55c19870c66"", ""a610a9d426b3"", ""a6448a70e993"", ""a7d06d07e6c3"", ""a823efcedabd"", ""a82536bb0043"", ""ac26cb0e9249"", ""acf81cbadaec"", ""ae427adb3d51"", ""b40acd215682"", ""b42bb6aa4bd0"", ""b43746032b9d"", ""b520d4ed8f29"", ""b5813c22bda8"", ""b6aa9a3abc0f"", ""b83bed0b0c18"", ""b89fd305580c"", ""bc46a6372070"", ""bdec5046af38"", ""c08be1c96b75"", ""c08f2f3d3e8b"", ""c207fd307df3"", ""c3ee99b25fe5"", ""c4e8e79b0dc1"", ""c644d5188019"", ""c7d15e21d947"", ""c96214dae904"", ""c9bcbbcd10e9"", ""cab0c62174f2"", ""cb1c58355a32"", ""cc173c68aaf4"", ""cc7cb78e54ff"", ""cda6f5d653f0"", ""ceb81af82ec8"", ""cf651cb4eb97"", ""cfa141a99804"", ""cfc9b29316ca"", ""d03d952857ab"", ""d05cac5388fa"", ""d1c34bb65deb"", ""d2f5621f7596"", ""d384c5486fec"", ""d44a9529bdde"", ""d465424b3564"", ""d4ea2c3251e9"", ""d50d012dbe1d"", ""d5963dc2e2a1"", ""d5d70edc6cef"", ""de99037c54a3"", ""df4ac708eecf"", ""e09d7e8e0f06"", ""e295ef4e6849"", ""e2f6a88e3abc"", ""e4edbaa2c127"", ""e783fc3a548e"", ""ecb3e566bf6f"", ""ed7fd7675fc5"", ""ef7005cea0a5"", ""ef74a70b4670"", ""f2a564301b9e"", ""f3443e988e2f"", ""f3d102f534b6"", ""f41ca0b8e8aa"", ""f486c8a77ee9"", ""f61d97acc9da"", ""f6efab0f4258"", ""fabdee03a10a"", ""fad54041dcf2"", ""fb61b5e416fe"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""fc6b7ff31bec"", ""fcf0638d98ab"", ""ff2b7a54d21d"", ""ffa998359094""]"
Technological limitations,334,positive,18,"[""14ebc0156334"", ""150bc8d96d43"", ""155874664ca6"", ""1d842e8af942"", ""2573e4102c86"", ""7043d68f5440"", ""8cc1cc25b209"", ""8fdeab605f31"", ""98a6512e9253"", ""9adf89905665"", ""9c2426e5689a"", ""b6ab3131bcdd"", ""ca0cf545a69a"", ""d28892d42ec2"", ""d4aa814e85dd"", ""e4ff9553115d"", ""f5532f1b6916"", ""fd535b17cb02""]"
Technological limitations,334,negative,40,"[""0ab3fcfd31cd"", ""0ce6275d5e29"", ""0d3ed148cd7e"", ""17531fd94ff0"", ""18bd8aebe09b"", ""1d162408014e"", ""204d1f7e2d50"", ""211a1f5e8c68"", ""281cfd2b1e25"", ""2c2ad7b1aef3"", ""2d9526998521"", ""30f9c197297e"", ""353e3e1970fc"", ""3610864516d6"", ""3756a39ea98c"", ""393240c7cec2"", ""3a1c9f961d8f"", ""3e68f9e61c54"", ""50e92c5d79ed"", ""569ab5ce6be4"", ""607838e1b84c"", ""62966ef9fdb8"", ""685a023a1f71"", ""6d00851b6b2f"", ""720229a10c92"", ""750835f3e51d"", ""884497e0ee92"", ""889c08799ba4"", ""8f6d0f5c5cf3"", ""92b0beaeeada"", ""9431a95feac7"", ""9649fa53145e"", ""a6448a70e993"", ""b6aa9a3abc0f"", ""c08be1c96b75"", ""c08f2f3d3e8b"", ""cc7cb78e54ff"", ""ecb3e566bf6f"", ""ef74a70b4670"", ""fcf0638d98ab""]"
Technological limitations,334,balanced,276,"[""00c860e05574"", ""043684769543"", ""050876505c41"", ""05e2688a7bc5"", ""05e48832d20e"", ""06c0f2ce8149"", ""07c78b773a9e"", ""07fc94724eec"", ""0a00ff13084b"", ""0a91bafc9ed3"", ""0c2ef5f5f239"", ""0c4c0c9dfa22"", ""0cd301461c99"", ""0ce423384fd5"", ""0d9a70ede5cc"", ""0db96a4e3a4b"", ""0dc2e29b3cdc"", ""0ff0aa3f6a75"", ""115dec251e53"", ""124df92e6d47"", ""12df428f0bc9"", ""1408e75c41f8"", ""141b13698665"", ""15409c146949"", ""1648261eab20"", ""17819e10c66b"", ""180d4efefd11"", ""1852aed2b535"", ""185bfa237de7"", ""18696a72d2e6"", ""1904798abdde"", ""194a129d30b7"", ""196caa492075"", ""19cb602b2f26"", ""1a2acf19df20"", ""1a93f0883cd2"", ""1bf504b7350f"", ""1ce8b917da06"", ""1d794ad5abad"", ""1e84cfa9a875"", ""21574e4309b4"", ""2169dad77619"", ""22edae5415fa"", ""253ecd7dc13d"", ""260b9335a18b"", ""26abc95edfa3"", ""26b86f0f7104"", ""27c8caa3938d"", ""28d93b251ada"", ""2b6fbc4f0508"", ""2ce8cb442667"", ""2da4eab59436"", ""2e6b2c0b76cd"", ""2eca1541a3a2"", ""2edcd32ecfef"", ""2eea02f82a91"", ""328d12f07b05"", ""32e2ad0d0e6f"", ""345f15624795"", ""35bc3ce0c206"", ""36d500e38d2a"", ""382c85dc1773"", ""38c21f05f613"", ""392467f34a8e"", ""3a42efb6c3e0"", ""3c2419267f61"", ""3db5f67e924b"", ""3ea2dfffb32d"", ""3fa94aec9761"", ""40af85c6a674"", ""40e5cd2458a7"", ""439dfd13b723"", ""4419aec5ed0a"", ""442a6774b300"", ""4491e0db91c1"", ""44ce6e703d06"", ""45030507cc63"", ""453d7dda7136"", ""45eb1a2f75ff"", ""47542dbde500"", ""4764e0c69fc7"", ""480eeed24bbb"", ""4a43cf41c93c"", ""4afc2a924102"", ""4caa01410b29"", ""4f765ccd9085"", ""4f7cb7df4f7d"", ""508a17977cd2"", ""5228248f6fb3"", ""52c9f6e04e8b"", ""52f6c2705903"", ""5426dc9b583d"", ""586a2b8617e4"", ""5892e7ec15c7"", ""59533aad7727"", ""5a7f975813f3"", ""5b4074fce93a"", ""5c42c3c92f41"", ""5d93b7069e25"", ""5eb5c2661c10"", ""5eda0c15ead9"", ""5fe18c92b5b8"", ""617a92840067"", ""61ee33ea2db5"", ""62c5fb0e0006"", ""6347ea09d2bd"", ""642c3c0cd617"", ""646313884044"", ""64d31fb56e0d"", ""671fa968ac45"", ""68f0266deb95"", ""6b5df424652b"", ""6f739da64bf7"", ""6fe05a02f932"", ""7170b8cc9dcd"", ""740599fb90ce"", ""74bd3176c1ed"", ""75bba223bc94"", ""772fab385995"", ""7a8d717e87c8"", ""7abb94fc2719"", ""7bda019936ec"", ""7c9a28561793"", ""7d76dcad4fd1"", ""7e500df4fae1"", ""7f53aa5cb1c9"", ""7f74f101a703"", ""7f80043b52dd"", ""8529576161e7"", ""853e0b588e73"", ""866ff7d14ed2"", ""873a9a16cc28"", ""87ad60e39c6e"", ""88ef6ab637e1"", ""88f59ea42ad7"", ""8a0a26e0ad28"", ""8a272a0621a3"", ""8a37722508f8"", ""8a5b73028348"", ""8b31cb8429dc"", ""8ba2213f7ff2"", ""8c8e1aed8a11"", ""8d687ff87530"", ""8e39b70ae840"", ""8e81837a5861"", ""901e5a28ee43"", ""9128d022254b"", ""942a7c645311"", ""94eb03d655e3"", ""99087a376207"", ""9a4a7b8bc450"", ""9be93b20f768"", ""9c51cf880908"", ""9c5dde5cbaf5"", ""9e08b543a80f"", ""Schlosser2024_SciRep"", ""a0c9a468cb84"", ""a1593fedce90"", ""a25c2affba2e"", ""a2bfc8cc3fd8"", ""a32e088bd521"", ""a3bb1eb6a59a"", ""a54c7820e8a1"", ""a55c19870c66"", ""a5c99b438a02"", ""a610a9d426b3"", ""a7d06d07e6c3"", ""a823efcedabd"", ""a82536bb0043"", ""a8a58cac35be"", ""ac26cb0e9249"", ""acf81cbadaec"", ""ad6ea1627565"", ""ae427adb3d51"", ""afc412821b08"", ""b14e75f5029e"", ""b2d92e326400"", ""b3e18537a972"", ""b40acd215682"", ""b42bb6aa4bd0"", ""b43746032b9d"", ""b520d4ed8f29"", ""b531b62923e4"", ""b5784b25a496"", ""b5813c22bda8"", ""b83bed0b0c18"", ""b89fd305580c"", ""baabcdd9106b"", ""babd088bc54d"", ""bbf1a9c65c10"", ""bc46a6372070"", ""bd6e9fab3138"", ""bdec5046af38"", ""c207fd307df3"", ""c3c03d9a26df"", ""c3ee99b25fe5"", ""c4e8e79b0dc1"", ""c4ed68d9a886"", ""c644d5188019"", ""c68d30aef47a"", ""c7d15e21d947"", ""c96214dae904"", ""c989782a8bba"", ""c9bcbbcd10e9"", ""c9fafe5b4ef7"", ""ca4ed632a93e"", ""cb11e397dac4"", ""cb1c58355a32"", ""cc173c68aaf4"", ""cda6f5d653f0"", ""ceb81af82ec8"", ""cf651cb4eb97"", ""cf8018eec68f"", ""cfa141a99804"", ""cfc9b29316ca"", ""d03d952857ab"", ""d05cac5388fa"", ""d1c34bb65deb"", ""d2268865c638"", ""d2883190c5b7"", ""d2f5621f7596"", ""d384c5486fec"", ""d44a9529bdde"", ""d465424b3564"", ""d485cdc6f95b"", ""d4ea2c3251e9"", ""d50d012dbe1d"", ""d5d70edc6cef"", ""d6066a07ba35"", ""d66c54ff5654"", ""da86f734d8a3"", ""daaa7bd24f6d"", ""dd322ca792a6"", ""ddb8a8742a4d"", ""ddff51574c2b"", ""de99037c54a3"", ""defa2b6538c8"", ""df4ac708eecf"", ""e09d7e8e0f06"", ""e10d72f899b9"", ""e1bb7788d422"", ""e2803d839281"", ""e295ef4e6849"", ""e2f6a88e3abc"", ""e4edbaa2c127"", ""e5136d5c95b2"", ""e53f05541439"", ""e783fc3a548e"", ""e8a1de4c2f1b"", ""e8da82ecca34"", ""ea263bf4d04c"", ""ed3fec0ec1cd"", ""ed7fd7675fc5"", ""ef369f0c1328"", ""ef7005cea0a5"", ""f0f02ae9c681"", ""f2a564301b9e"", ""f2c1c0d92f35"", ""f32b6992dba5"", ""f3443e988e2f"", ""f3d102f534b6"", ""f41ca0b8e8aa"", ""f486c8a77ee9"", ""f49beac306e5"", ""f61d97acc9da"", ""f6efab0f4258"", ""fabdee03a10a"", ""fad54041dcf2"", ""fb4151a5b803"", ""fb61b5e416fe"", ""fbc53be7c1ec"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""fc6b7ff31bec"", ""ff2b7a54d21d"", ""ffa998359094""]"
Real-world impact,19,positive,16,"[""0cd301461c99"", ""3a1c9f961d8f"", ""44ce6e703d06"", ""45eb1a2f75ff"", ""508a17977cd2"", ""5228248f6fb3"", ""7e500df4fae1"", ""88f59ea42ad7"", ""9128d022254b"", ""9e08b543a80f"", ""a3bb1eb6a59a"", ""a54c7820e8a1"", ""a619076b267e"", ""a6448a70e993"", ""a82536bb0043"", ""c08f2f3d3e8b""]"
Real-world impact,19,negative,1,"[""d2f5621f7596""]"
Real-world impact,19,balanced,2,"[""5066313c066c"", ""ceb81af82ec8""]"
"Data availability, integration, quality, and standardization",316,positive,22,"[""00c860e05574"", ""150bc8d96d43"", ""1d842e8af942"", ""27c8caa3938d"", ""39421d06c383"", ""5025397cedec"", ""5b2edc0853a8"", ""6b8a4c5793dc"", ""8bade6a0ab7c"", ""942a7c645311"", ""9f0384c0591e"", ""aec455f4c0cd"", ""b40acd215682"", ""b5784b25a496"", ""bbf1a9c65c10"", ""c3c03d9a26df"", ""d05cac5388fa"", ""d28892d42ec2"", ""e10d72f899b9"", ""eed82e7dd133"", ""ef7005cea0a5"", ""fd535b17cb02""]"
